Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded
GDDY,GoDaddy,Information Technology,Internet Services & Infrastructure,"Tempe, Arizona",24/06/24,1609711,1997
GE,GE Aerospace,Industrials,Aerospace & Defense,"Evendale, Ohio",04/03/57,40545,1892
GEHC,GE HealthCare,Health Care,Health Care Equipment,"Chicago, Illinois",04/01/23,1932393,1994
GEN,Gen Digital,Information Technology,Systems Software,"Tempe, Arizona",25/03/03,849399,1982
GEV,GE Vernova,Industrials,Heavy Electrical Equipment,"Cambridge, Massachusetts",02/04/24,1996810,2024
GILD,Gilead Sciences,Health Care,Biotechnology,"Foster City, California",01/07/04,882095,1987
GIS,General Mills,Consumer Staples,Packaged Foods & Meats,"Golden Valley, Minnesota",04/03/57,40704,1856
GL,Globe Life,Financials,Life & Health Insurance,"McKinney, Texas",30/04/89,320335,1900
GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",27/02/95,24741,1851
GM,General Motors,Consumer Discretionary,Automobile Manufacturers,"Detroit, Michigan",06/06/13,1467858,1908
GNRC,Generac,Industrials,Electrical Components & Equipment,"Waukesha, Wisconsin",22/03/21,1474735,1959
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,"Mountain View, California",03/04/06,1652044,1998
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,"Mountain View, California",03/04/14,1652044,1998
GPC,Genuine Parts Company,Consumer Discretionary,Distributors,"Atlanta, Georgia",31/12/73,40987,1925
GPN,Global Payments,Financials,Transaction & Payment Processing Services,"Atlanta, Georgia",25/04/16,1123360,2000
GRMN,Garmin,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",12/12/12,1121788,1989
GS,Goldman Sachs,Financials,Investment Banking & Brokerage,"New York City, New York",22/07/02,886982,1869
GWW,W. W. Grainger,Industrials,Industrial Machinery & Supplies & Components,"Lake Forest, Illinois",30/06/81,277135,1927
HAL,Halliburton,Energy,Oil & Gas Equipment & Services,"Houston, Texas",04/03/57,45012,1919
HAS,Hasbro,Consumer Discretionary,Leisure Products,"Pawtucket, Rhode Island",30/09/84,46080,1923
HBAN,Huntington Bancshares,Financials,Regional Banks,"Columbus, Ohio; Detroit, Michigan",28/08/97,49196,1866
HCA,HCA Healthcare,Health Care,Health Care Facilities,"Nashville, Tennessee",27/01/15,860730,1968
HD,Home Depot (The),Consumer Discretionary,Home Improvement Retail,"Atlanta, Georgia",31/03/88,354950,1978
HES,Hess Corporation,Energy,Integrated Oil & Gas,"New York City, New York",31/05/84,4447,1919
HIG,Hartford (The),Financials,Property & Casualty Insurance,"Hartford, Connecticut",04/03/57,874766,1810
HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,"Newport News, Virginia",03/01/18,1501585,2011
HLT,Hilton Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Tysons Corner, Virginia",19/06/17,1585689,1919
HOLX,Hologic,Health Care,Health Care Equipment,"Marlborough, Massachusetts",30/03/16,859737,1985
HON,Honeywell,Industrials,Industrial Conglomerates,"Charlotte, North Carolina",04/03/57,773840,1906
HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals","Houston, Texas",02/11/15,1645590,2015
HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California",31/12/74,47217,1939 (2015)
HRL,Hormel Foods,Consumer Staples,Packaged Foods & Meats,"Austin, Minnesota",04/03/09,48465,1891
HSIC,Henry Schein,Health Care,Health Care Distributors,"Melville, New York",17/03/15,1000228,1932
HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,"Bethesda, Maryland",20/03/07,1070750,1993
HSY,Hershey Company (The),Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania",04/03/57,47111,1894
HUBB,Hubbell Incorporated,Industrials,Industrial Machinery & Supplies & Components,"Shelton, Connecticut",18/10/23,48898,1888
HUM,Humana,Health Care,Managed Health Care,"Louisville, Kentucky",10/12/12,49071,1961
HWM,Howmet Aerospace,Industrials,Aerospace & Defense,"Pittsburgh, Pennsylvania",21/10/16,4281,1888
IBM,IBM,Information Technology,IT Consulting & Other Services,"Armonk, New York",04/03/57,51143,1911
ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,"Atlanta, Georgia",26/09/07,1571949,2000
IDXX,Idexx Laboratories,Health Care,Health Care Equipment,"Westbrook, Maine",05/01/17,874716,1983
IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,"Lake Forest, Illinois",09/08/19,832101,1988
IFF,International Flavors & Fragrances,Materials,Specialty Chemicals,"New York City, New York",31/03/76,51253,1958 (1889)
INCY,Incyte,Health Care,Biotechnology,"Wilmington, Delaware",28/02/17,879169,1991
INTC,Intel,Information Technology,Semiconductors,"Santa Clara, California",31/12/76,50863,1968
INTU,Intuit,Information Technology,Application Software,"Mountain View, California",05/12/00,896878,1983
INVH,Invitation Homes,Real Estate,Single-Family Residential REITs,"Dallas, Texas",19/09/22,1687229,2012
IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",04/03/57,51434,1898
IPG,Interpublic Group of Companies (The),Communication Services,Advertising,"New York City, New York",01/10/92,51644,1961 (1930)
IQV,IQVIA,Health Care,Life Sciences Tools & Services,"Durham, North Carolina",29/08/17,1478242,1982
IR,Ingersoll Rand,Industrials,Industrial Machinery & Supplies & Components,"Davidson, North Carolina",03/03/20,1699150,1859
IRM,Iron Mountain,Real Estate,Other Specialized REITs,"Boston, Massachusetts",06/01/09,1020569,1951
ISRG,Intuitive Surgical,Health Care,Health Care Equipment,"Sunnyvale, California",02/06/08,1035267,1995
IT,Gartner,Information Technology,IT Consulting & Other Services,"Stamford, Connecticut",05/04/17,749251,1979
ITW,Illinois Tool Works,Industrials,Industrial Machinery & Supplies & Components,"Glenview, Illinois",28/02/86,49826,1912
IVZ,Invesco,Financials,Asset Management & Custody Banks,"Atlanta, Georgia",21/08/08,914208,1935
J,Jacobs Solutions,Industrials,Construction & Engineering,"Dallas, Texas",26/10/07,52988,1947
JBHT,J.B. Hunt,Industrials,Cargo Ground Transportation,"Lowell, Arkansas",01/07/15,728535,1961
JBL,Jabil,Information Technology,Electronic Manufacturing Services,"St. Petersburg, Florida",18/12/23,898293,1966
JCI,Johnson Controls,Industrials,Building Products,"Cork, Ireland",27/08/10,833444,1885
JKHY,Jack Henry & Associates,Financials,Transaction & Payment Processing Services,"Monett, Missouri",13/11/18,779152,1976
JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,"New Brunswick, New Jersey",30/06/73,200406,1886
JNPR,Juniper Networks,Information Technology,Communications Equipment,"Sunnyvale, California",02/06/06,1043604,1996
JPM,JPMorgan Chase,Financials,Diversified Banks,"New York City, New York",30/06/75,19617,2000 (1799 / 1871)
K,Kellanova,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",11/09/89,55067,1906
KDP,Keurig Dr Pepper,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Burlington, Massachusetts",21/06/22,1418135,1981
KEY,KeyCorp,Financials,Regional Banks,"Cleveland, Ohio",01/03/94,91576,1825
KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,"Santa Rosa, California",06/11/18,1601046,2014 (1939)
KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",06/07/15,1637459,2015 (1869)
KIM,Kimco Realty,Real Estate,Retail REITs,"Jericho, New York",04/04/06,879101,1958
KKR,KKR,Financials,Asset Management & Custody Banks,"New York City, New York",24/06/24,1404912,1976
KLAC,KLA Corporation,Information Technology,Semiconductor Materials & Equipment,"Milpitas, California",30/09/97,319201,1975/1977 (1997)
KMB,Kimberly-Clark,Consumer Staples,Household Products,"Irving, Texas",04/03/57,55785,1872
KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,"Houston, Texas",25/05/12,1506307,1997
KMX,CarMax,Consumer Discretionary,Automotive Retail,"Richmond, Virginia",28/06/10,1170010,1993
KO,Coca-Cola Company (The),Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Atlanta, Georgia",04/03/57,21344,1886
KR,Kroger,Consumer Staples,Food Retail,"Cincinnati, Ohio",04/03/57,56873,1883
KVUE,Kenvue,Consumer Staples,Personal Care Products,"Skillman, New Jersey",25/08/23,1944048,2022 (Johnson & Johnson spinoff)
L,Loews Corporation,Financials,Multi-line Insurance,"New York City, New York",31/05/95,60086,1959
LDOS,Leidos,Industrials,Diversified Support Services,"Reston, Virginia",09/08/19,1336920,1969
LEN,Lennar,Consumer Discretionary,Homebuilding,"Miami, Florida",04/10/05,920760,1954
LH,LabCorp,Health Care,Health Care Services,"Burlington, North Carolina",01/11/04,920148,1978
LHX,L3Harris,Industrials,Aerospace & Defense,"Melbourne, Florida",22/09/08,202058,"2019 (L3 1997, Harris 1895)"
LIN,Linde plc,Materials,Industrial Gases,"Guildford, United Kingdom",01/07/92,1707925,1879
